i,entry_short,entry_long,exit_short_threshold,exit_long_threshold,position_timeout,multiple_entries,capital_percent,total_short_return,total_long_return,total_return,positions,balance,roi
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.2,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.19830850745552978,-15.06558409198513
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.30000000000000004,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,2.798975094583127e-36,-99.97418990789502
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.30000000000000004,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.07011265588629359,-23.52645370063009
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.4,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,8.993146325197751e-51,-99.99911066578791
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.4,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.020150512304333595,-32.56910289646074
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.5,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,4.8438088136590836e-67,-99.99997971695933
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.5,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.004375518492239676,-42.20113316989564
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.6,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,1.408159828288636e-85,-99.99999972690054
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.6,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,0.0006199820178852857,-52.54644966157449
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.7000000000000001,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,2.4650593855842634e-107,-99.99999999826021
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.7000000000000001,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,3.6369414010306124e-05,-64.35781362567788
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.8,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,2.7747421839291847e-133,-99.99999999999581
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.8,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,-1.7667367655115702e-06,0
3,1.0,0.95,0.95,0.97,14 days 00:00:00,True,0.9,-238.0780579086691,2.4784451962890897,-235.59961271238,12450,-8.906733458420638e-169,0
3,1.0,0.95,0.95,0.97,14 days 00:00:00,False,0.9,-8.104958632389515,1.2884468469216184,-6.816511785467896,1104,-6.8551645734421144e-09,0
